名字,开放时间,评分,建议游玩时间,门票,来源城市
"新安江山水画廊Xin'an River Landscape Gallery",7:00-17:00,4.4,108,138,黄山
"新甫山景区Xintaixinfu Mountain",08:00-17:30,4.6,12,68,泰安
"方山Fang Mountain",8:00-17:00,4.3,3.5,6,泸州
"方岩风景名胜区Fangyan Scenic Area",07:30-17:30,4.4,108,60,金华
"日照文山茶博园",8:30-18:00,4.5,2.5,26,日照
"明月山花海原居樱花山谷Mingyue Mountain Flower Sea Original Residence Sakura Valley",8:30-16:30,2,12,38,宜春
"普陀山西天景区The Western Heaven Scenic District of Mount Putuo",8:00-18:00,4.7,2.5,2,舟山
"普陀山风景区Putuo Mountain Scenic Area",06:20-21:50,4.7,180,230,舟山
"景忠山旅游区",8:30-17:00,3.5,24,65,唐山
"景星岩Xianju Jingxing Cliff Scenic Spot & Historical Site",8:00-17:00,4.2,324,50,台州
"曾家山景区Zengjia Mountain Scenic Area",8:00-18:00,4.5,36,9,广元
"月亮山Moon Hill",8:00-17:30,4.2,1.5,22,桂林
"月亮湾·金钟山景区",08:00-18:00,5,2.5,60,雅安
"朗赛岭庄园Langsailing Manor",9:00-18:00,4,1,8,山南
"望仙谷",08:00-20:00,4.1,12,98.5,上饶
"望儿山Wang'er Mountain",8:00-16:30,4.3,3,19.6,营口
"朝阳凤凰山Phoenix Mountain",08:00-17:00,4.5,4.5,28,朝阳
"木兰云雾山Mulan Yunwu Mountain",08:00-17:00,4.2,4,55,武汉
"木兰清凉寨Mulan Qingliang Village",08:00-17:30,4.4,12,58,武汉
"木札岭旅游区Muzha Ridge Tourist Area",7:00-17:00,4.6,12,9,洛阳
"本溪大峡谷Benxi Canyon",08:00-17:00,4.1,12,25,本溪
"朱家尖大青山景区Daqing Mountain",08:00-16:45,4.5,2.5,60,舟山
"朱家峪Zhu Jiayu",8:00-17:30,4.4,3.5,37.9,济南
"来凤山",8:00-18:00,4.2,3.5,7,保山
"板壁岩Banbi Rock",7:30-17:30,4.6,1.5,2,神农架
"林海烽山Linhai Fengshan",7:30-18:00,4.5,4,2,烟台
"枣庄熊耳山Xiong'er Mountain",08:00-17:00,4.2,12,18,枣庄
"枫林地心大峡谷Fenglin Geocentric Grand Canyon",08:30-18:00,3.6,3.5,165,黄石
"枫林谷森林公园Fenglingu Forest Park",8:00-17:00,4.6,12,80,本溪
"柴河小九寨水上乐园",7:00-17:00,3.8,2.5,30,牡丹江
"栖霞山Qixia Mountain",08:00-16:00,4.6,2.5,23,南京
"桂林丹霞八角寨景区Ghuilin Danxia Bajiaozhai Scenic Area",8:00-17:00,4.5,2.5,128,桂林
"桃坪羌寨Taoping Qiang Village",9:00-18:00,4.4,2.5,6,阿坝
"桃花峪景区Taohuayu Scenic Area (Peach Blossum Valley Scenic Area)",8:00-16:30,4.4,5,44,舟山
"桐木岭景区Tongmuling Scenic Area",8:00-16:00,4.7,12,156,吉安
"桐柏山淮源风景区Tongbaishan Huaiyuan Scenic Spot",8:00-18:00,4.4,1,55,南阳
"梁野山Liangye Mountain",8:00-18:00,4.5,3.5,53,龙岩
"梅山龙宫Meishan Dragon Palace",8:30-17:00,4.5,1.5,78,娄底
"梅岭国家级风景名胜区Meiling National Scenic Area",8:30-17:00,4.5,3.5,36,南昌
"梅岭狮子峰Meiling Lion Peak",08:00-17:00,4.3,1.5,36,南昌
"梅岭竹海明珠Meiling Zhuhai Pearl",08:30-17:00,4.1,3,35,南昌
"梅峰岛Meifeng Island",8:00-13:00,4.3,1.25,55,杭州
"梅峰揽胜",9:15-10:45,4.6,2.5,55,杭州
"梅花山",8:00-17:00,5,5,1,龙岩
"梅花山Meihuashan",6:30-18:00,4.7,3,60,南京
"梅花山旅游景区Meihua Mountain Tourism Sceneic Area",9:00-17:00,4.4,12,128,六盘水
"梅里雪山国家公园Meili Snow Mountain",6:00-16:30,4.7,108,8,迪庆
"梧桐山国家森林公园Wutong Mountain",06:00-19:00,4.6,12,7,深圳
"梵净山佛教文化苑Fanjingshan Buddhist Culture Park",8:30-17:00,4.7,3,198,铜仁
"椰田古寨Yetian Ancient Village",7:30-17:30,4.1,3,25,陵水
"槎山风景区Chashan (Raft Mountain) Scenic Area",7:30-17:00,4.4,2,29.9,威海
"槟榔谷Binlang Ethnic Village",08:30-18:00,4.4,3.5,94,保亭
"横山寺森林公园Hengshan Temple Forest Park",6:00-18:00,4.7,2.5,0,大连
"樱山花谷Sakura Valley",8:00-17:00,3.6,2.5,26.8,揭阳
"樱花谷景区Yinghuagu Sceneic Area",8:00-18:30,4.2,4.5,60,保山
"樵岭前风景区Qiaolingqian Scenic Area",8:00-16:00,4.2,3.5,78,淄博
"歌乐山国家森林公园Geleshan National Forest Park",8:00-17:00,4.5,2.5,6,重庆
"武功山花涧里Huajianli Park, Wugong Mountain",08:00-18:00,4.5,12,35.8,萍乡
"武山温泉Wushan Spa",8:30-23:00,4,2,68,天水
"比日神山生态景区Birishenshan Ecological Scenic Area",09:00-18:00,4.4,4,5,林芝
"水泊梁山Shuibo Liangshan Scenic Area",07:00-19:00,4.3,4.5,1.4,济宁
"永仁方山Yongren Square Mountain",08:00-18:00,4.7,2,10,楚雄州
"汉仙岩风景名胜区Hanxianyan Scenic Area",8:30-17:00,4.5,12,55,赣州
"汝城温泉福泉山庄Rucheng Hot Spring Fuquan Resort",9:30-23:30,4.6,3.5,158,郴州
"江岭景区Jiangling",07:30-17:00,4.5,4,80,上饶
"江郎山风景名胜区Jianglang Mountain Scenic Area",8:00-16:30,4.6,12,90,衢州
"汤山翠谷现代农业示范园",9:00-16:30,3.5,2,50,南京
"汪山土库Wangshan Tuku",9:00-17:00,4.5,1.5,6,南昌
"沂蒙山旅游区沂山景区Mt Yimeng Tourist Area",07:30-17:00,4.4,72,40,潍坊
"沂蒙山旅游区龟蒙景区Guimeng Scenic Area, Yimeng Mountain",8:30-16:30,4.5,72,69,临沂
"沂蒙山根据地Yimeng Mountain Base",8:00-17:00,4.6,1.5,35,临沂
"沙山公园Sha Mountain Park",10:00-19:00,4.8,2.5,65,吐鲁番
"沩山风景名胜区WeiShan Mountain Scenic Resort",08:00-18:30,4.9,12,8,长沙
"泉山森林公园Quanshan Forest Park",8:00-18:00,4.6,2.5,5,徐州
"泊山洞Boshan Cave",8:00-17:00,3.5,1,7,巢湖
"泰山北麓",8:00-17:00,4.5,1.5,20,泰安
"泸山Lushan",9:00-18:00,4.4,2.5,65,凉山
"洛迦山Luojia Mountain",08:00-13:00,4.8,3,7,舟山
"洛阳花果山景区Huaguoshan National Forest Park",7:30-18:00,4,3.5,39.9,洛阳
"洪岩仙境风景区",9:00-17:00,4.6,4.5,81,景德镇
"洪崖丹井",9:00-17:00,3.8,1,15,南昌
"洪崖丹井景区Hongyadan Well Scenic Area",8:00-17:00,4.3,1.5,15,南昌
"洪崖书画院Hongya Painting and Calligraphy Institute",8:00-20:00,4.8,1,10,南昌
"洪崖洞民俗风貌区Hongyadong Commercial Street",11:00-23:00,4.6,2,1980,重庆
"浙东小九寨Zhedong Xiaojiuzhai",08:00-16:30,4.4,3.5,44,宁波
"浙北大峡谷Zhebei Grand Canyon",8:00-16:00,4.3,3,90,湖州
"浙西大峡谷West Zhejiang Grand Canyon",7:30-17:00,4.5,72,75,杭州
"浮山Fushan Mountain",8:00-18:00,4.2,2.5,48.8,安庆
"浮来山风景区Fulaishan Scenic Area",8:30-17:00,4.5,4,5,日照
"浮烟山文旅公园Fuyanshan Forest Park",8:00-17:30,3.7,12,6,潍坊
"海上云台山Yuntai Mountain",8:30-17:30,4.4,12,40,连云港
"海棠山风景区Haitang Mountain",8:00-17:00,4.6,2.5,45,阜新
"淡竹休闲谷Danzhu Leisure Valley",8:00-16:30,4.1,5,44.9,台州
"清凉山Qingliang Mountain Ski Area",09:00-16:00,4.5,2,100,石家庄
"清凉山公园Qingliangshan Park",9:00-17:00,4.5,1.5,7,南京
"清水岩Qingshui Rock",06:30-18:00,4.6,3.5,0.8,泉州
"清源山Qingyuan Mountain",08:00-17:30,4.4,12,58,泉州
"清远天子山瀑布Qingyuan Tianzishan Waterfall",8:00-17:30,4.3,3.5,48,清远
"清风岭Qingfeng Peak",8:00-16:30,4.3,2,44.7,朝阳
"温岭方山景区Wenling Fangshan Scenic Area",8:00-16:30,4.7,12,32,台州
"湖光岩Huguangyan",7:30-18:00,4.4,3,0.5,湛江
"湖北三角山旅游度假区Hubei Mount Sanjiao Tourism and Resort Area",8:00-17:00,4.3,108,48,黄冈
"滇池西山索道Dianchi Xishan Cableway",9:00-17:00,4.7,0.75,40,昆明
"潭溪山Tanxi Mountain Scenic Area",08:00-17:00,4.4,12,99,淄博
"火云谷景区Huoyungu Sceneic Area",10:00-20:00,4.5,2.5,38,吐鲁番
"火山地热国家地质公园Tengchong Volcanic Geothermal National Geological Park",8:00-18:00,4.2,108,35,保山
"火山地质博物馆",08:30-17:30,3.7,1,0,北海
"火山岛地学博物馆Volcanic Island Geoscience Museum",8:15-18:00,3.6,1.5,198,漳州
"火石寨国家地质（森林）公园Huoshizhaiguojiadizhi (senlin)  Park",7:00-19:00,4.4,1,48,固原
"灵宝娘娘山景区Lingbao Niangniang Mountain",7:00-19:00,4.4,3.5,35,三门峡
"灵山大佛Lingshan Giant Buddha",07:30-17:00,4.8,1.5,193,无锡
"灵山寺The Lingshan Temple",8:30-16:00,4.4,1,58,凉山
"灵山岛Lingshan Island",7:00-18:00,3.6,3,57,青岛
"灵山聚龙洞Lingshan Julong Cave",8:30-17:00,4.4,2.5,34.7,保定
"灵山风景名胜区Lingshan Scenic Area",7:30-17:00,4.7,4,45,葫芦岛
"灵岩",06:00-20:00,4.5,3,50,温州
"灵岩大佛山景区Lingyan Dafoshan Scenic Spot",8:30-17:00,4.4,12,49.9,济南
"灵岩寺Lingyan Temple",8:00-17:00,4.7,2.5,65.5,济南
"灵岩山Lingyan Mountain",08:30-17:00,4.6,3.5,1,苏州
"灵岩洞国家森林公园Lingyan Cave National Forest Park",07:30-17:00,4.2,1.5,55,上饶
"灵峰景区Lingfeng Scenic Area",8:00-17:30,4.3,2.5,45,温州
"灵石山国家森林公园Lingshi (Spirit Rock) Mountain National Forest Park",7:30-18:30,4.1,3.5,15,福州
"灵空山Lingkong Mountain",6:00-18:00,4.7,72,8,长治
"烂柯山Lanke Mountain",8:00-17:00,4.9,2.5,7,衢州
"照金香山Fragrant Hills",08:30-17:00,4.6,3,33,铜川
"熊猫谷Panda Valley",8:30-17:00,4.4,2.5,699,成都
"燕子河大峡谷Swallow River Grand Crayon",7:00-18:00,4.5,12,45,六安
"牛首山文化旅游区Niushou Mountain Cultural Tourism Zone",08:30-17:30,4.7,5,85,南京
"状元岩Number One Scholar Rock",8:00-16:00,4.6,1.5,21.97,三明
"狮子山楚王陵The Tomb of Chu King on the Shizi Mountain",8:30-17:00,4.5,1.5,78.5,徐州
"狼山风景区Lang Mountains Scenic Area",08:30-16:30,4.5,2,63,南通
"狼巷迷谷Langxiangmi Valley",8:00-17:00,4.5,72,55,滁州
"猕猴水寨",8:00-17:30,4,1.25,120,恩施
"玄武山（元山寺）Xuanwu Mountain (Yuanshan Temple)",8:30-17:00,4.6,1.5,8,汕尾
"玉京峰景区Yujingfeng Sceneic Area",08:00-17:00,4.6,3,409,上饶
"玉苍山森林公园Yucang Mountain Forest Park",9:00-16:30,4.3,12,55,温州
"玉龙雪山Jade Dragon Snow Mountain",07:30-16:30,4.5,12,273,丽江
"玉龙雪山索道Yulong Snow Mountain Cableway",08:00-16:00,4.4,0.5,328,丽江
"王屋山-黛眉山地质博物馆",8:00-18:00,3,2.5,50,济源
"王莽岭风景区Wangmang Ridge",08:00-16:00,4.5,5.75,9,晋城
"珏山Jueshan Mountain",8:00-5:00,4.6,3.5,50,晋城
"琼台仙谷Taizhou Qiongtai Xiangu Scenic Resort",08:00-16:00,4.6,3.5,55,台州
"瓦屋山风景区Wawushan Mountain Area",08:00-17:00,4.3,4,10,眉山
"甘山国家森林公园Ganshan Forest Park",09:00-16:00,4.5,3.5,9,三门峡
"甘泉大峡谷Yucha Grand Canyon",07:30-16:00,4.8,2.5,70,延安
"甘谷大象山Gangu Daxiangshan",08:00-18:00,4.6,12,9,天水
"田王寨景区",08:30-17:00,3,1.5,40,随州
"甲居藏寨Jiaju Tibetan Village",9:00-16:00,4.4,2.5,6,甘孜
"画眉谷Thrush Valley",08:00-18:00,3.9,3.5,15,平顶山
"白塔山公园Baitashan Park",6:30-19:30,4.6,2.5,0.6,兰州
"白崖寨Baiyazhai",08:30-17:30,4.5,2.5,49.9,安庆
"白水寨风景名胜区Baishuizhai Scenic Area",8:30-17:30,4.6,12,48,广州
"白玉山景区Baiyu Mountain Scenic Area",06:30-18:00,4.3,3.5,36,大连
"白石山世界地质公园Baishishan World Geopark",8:00-18:00,4.6,12,260,保定
"白石岭Baishi Ridge",8:30-17:30,4.6,3,30,琼海
"白羊峪长城旅游区Great Wall Baiyangyu Tourist Area",08:30-17:00,4.4,3,30,唐山
"白露山",8:00-18:00,5,3,20,金华
"白马山天尺情缘景区Tianchi Qingyuan Scenic Area",8:00-17:30,3.7,12,50,重庆
"百山祖",8:00-17:00,4,2,80,丽水
"百崖大峡谷Baiya Grand Canyon",8:00-19:00,4.4,3.5,30,来宾
"百色大王岭漂流景区Baise Daiwangling Drifting Sceneic Area",10:00-16:00,4.2,2.5,180,百色
"皇甫山Huangfu Mountain",8:00-17:00,4.3,3.5,39,滁州
"皖西大裂谷West Anhui Great Rift Valley",08:00-17:00,4.4,12,56,六安
"相公山Xianggong Mountain",6:00-18:00,4.4,2.5,99,桂林
"眉山三苏祠博物馆Three-Su Temple Museum",9:00-18:00,4.6,2,40,眉山
"矮寨大桥Aizhai Bridge",9:00-17:30,4.6,1,115,湘西
"矮寨悬崖栈道Cliff Hanging Glass Road",8:30-17:30,4.5,1.5,78,湘西
"石卡雪山Shika Snow Mountain",8:00-16:10,4.5,3.5,50,迪庆
"石宝山Shibao Mountain",09:00-17:00,4.4,2.5,9,大理
"石峰动物园Shifeng Park Zoo",08:00-17:30,4.3,2.5,48.9,株洲
"石根山Shigen Mountain",8:00-18:00,4.4,5,39.5,茂名
"石桅岩Shiwei Rock",08:00-17:00,4.6,2.5,45,温州
"石牛寨Shiniuzhai Scenic Area",08:00-17:00,2.7,2.5,188,岳阳
"石膏山Shigao Mountain",7:00-19:00,4.5,3,258,晋中
"石钟山Shizhong Mount (Stone Bell Mountain)",08:00-17:30,4.4,1.5,64.2,九江
"石门壶瓶山Hupingshan Mountain in Shimen County",8:00-18:00,4.3,4,58,常德
"石门山国家森林公园Shimen Mountain",8:00-19:00,4.5,12,8,济宁
"石龙大峡谷Shilongda Canyon",8:00-17:00,5,12,50,梧州
"石龙谷森林游乐园Stone Dragon Valley Forest Amusement Park",9:00-18:00,4.5,3.5,50,泉州
"祖山风景区Zushan Scenic Area",08:00-21:30,4.6,108,117,秦皇岛
"神农山Shennong Mountain",8:00-18:00,4.3,72,55,焦作
"神农牡丹谷Shennong Peony Valley",08:00-17:30,4.6,2.5,50,随州
"神女峰The Goddess (Shennv) Peak",7:30-15:00,4.7,1,9,重庆
"神泉谷景区Shenquan Valley Leisure Tourism Resort",8:00-18:00,3.2,5,128,黔南
"神灵寨风景区Shenlingzhai Scenic Area",8:30-17:30,4.5,3.5,49,洛阳
"神龙山巴人古堡Shenlong Mountain Ba People's Castle",7:00-18:00,4.6,1,40,广安
"神龙谷Shenlong Valley",8:00-16:30,4.6,2.5,47,丽水
"禹山游览区",8:00-19:00,4,2,20,岳阳
"秀山岛",8:00-19:00,4,4,7,舟山
"秀峰Xiufeng Peak",8:00-16:30,4.6,3,52,九江
"秦始皇帝陵博物院-丽山园Mausoleum of the First Qin Emperor",08:30-17:00,4.3,1.5,120,西安
"秦岭洞天福地景区Qinling Dongtian Fudi Scenic Area",09:00-17:00,4.4,1,90,商洛
"稻城兔儿山",8:00-18:00,4.2,0.5,0,甘孜
"穿山景区Guilin Chuanshan Scenic Resort",09:00-16:30,4.4,1,4,桂林
"米仓山大峡谷旅游景区",08:30-18:00,4.8,4.5,40,广元
"紫云谷Ziyungu",8:00-22:00,4.4,3,7,肇庆
"紫金山天文台Purple Mountain Observatory",09:00-17:00,4.5,1.5,15,南京
"紫金山旅游区Mount Zijin Tourist Area",7:30-18:30,4.3,4.5,29.9,邢台
"紫马岭公园Zimaling Park",07:00-20:00,4.5,1.5,8,中山
"红叶谷Red Leaves Canyon",8:00-17:00,4.4,72,29.5,济南
"红山森林动物园Hongshan Forest Zoo",08:30-18:00,4.6,5,40,南京
"红岩岭自然风景区Hongyanling Natural Scenic Area",09:00-18:00,4.6,1.5,39.9,阳泉
"红河谷森林公园Red River Resorts",08:00-18:00,4.4,4.5,6,宝鸡
"终南山Zhongnan Mountain",10:00-19:00,4.5,108,65,西安
"罗山国家森林公园Luoshan National Forest Park",8:00-17:00,4.4,2.5,43,烟台
"罗浮山温泉旅游度假区Mount Luofu Conference Center and Hot Springs Resort",10:00-22:00,5,2.5,50,绵阳
"罗浮山羌王城Luofu Mountain Qiangwang City",9:00-17:50,4.5,3,34.6,绵阳
"翠华山·秦岭终南山世界地质公园Cuihua Mountain",09:00-17:00,4.6,12,65,西安
"翠枫山自然风景区Cuifeng Mountain Natural Scenic Area",9:00-17:00,4.3,3.5,80,阳泉
"翠谷湿地",7:30-17:00,4,0.5,110,黔南
"翠谷瀑布",7:30-17:00,4.2,0.5,110,黔南
"翡翠谷Feitsui Valley",06:30-18:30,4.5,2.5,55,黄山
"老君山景区Luoyang Laojun Mountain",8:00-18:00,4.6,108,96,洛阳
"老峨山Lao'e Mountain",08:00-17:30,4.4,12,38,眉山
"老界岭旅游度假区Laojie (Old Boundary) Ridge",08:00-17:30,4.5,12,300,南阳
"老鹰谷风景区",08:00-17:00,4.5,12,20,萍乡
"联峰山Lianfeng Mountain",05:30-17:00,4.6,3,25,秦皇岛
"胡里山炮台Hulishan Fort",08:00-17:30,4.6,1.5,23,厦门
"胡雪岩故居Hu Xueyan's Former Residence",08:00-17:00,4.7,1.5,20,杭州
"胡雪岩纪念馆Hu Xueyan Memorial",07:00-18:00,3.7,1,20,宣城
"腊山国家森林公园Lashan National Forest Park",9:00-18:00,4.1,2.5,7,泰安
"腾冲原乡栖花岭景区Tengchong Yuan Xiang Qihualing Sceneic Area",9:30-18:30,4.5,2.5,28,保山
"自贡尖山风景区Jianshan Natural Scenic Area",09:00-17:30,4.2,2,18,自贡
"舜皇山国家森林公园Shunhuangshan National Forest Park",8:00-18:00,4.3,3.5,35,永州
"芙蓉谷Hibiscus Valley",8:00-17:30,4.3,2,78,黄山
"芦笛岩Ludi Cave (Reed Flute Cave)",09:00-17:00,4.7,1,39.9,桂林
"花之谷运动探险乐园",09:00-17:30,3.5,2.5,38,亳州
"花乡茶谷旅游景区Huaxiang Chagu Lvyou Dujia Sceneic Area",9:00-18:00,4.1,3.5,60,武汉
"花山世界·花山谜窟Huashan Mystery Cave",08:00-22:00,4.5,3,90,黄山
"花江大峡谷Huajiang Grand Canyon",09:00-18:00,4.3,2,30,安顺
"苍山Cangshan Mountain",08:30-15:00,4.5,12,100,大理
"苍山中和索道Cangshan Zhonghe Cableway",8:00-16:00,4.4,1.25,100,大理
"苍岩山风景区Mt Cangyan Scenic Area",9:00-17:00,4.3,2.75,6,石家庄
"苏州上方山国家森林公园Shangfangshan Hill National Forest Park",07:30-16:30,4.6,3,40,苏州
"苗人谷Miaoren Valley",8:00-17:30,3.3,1.5,128,湘西
"英西峰林走廊Yingxi Fenglin Corridor",08:00-17:30,3.9,5,30,清远
"茅山东方盐湖城·道天下Oriental Salt Lake City",09:30-21:00,4.5,108,120,常州
"茅山森林世界Baosheng Park",09:00-17:00,4.6,12,98,常州
"药王山Yaowang (Medicine King) Mountain",8:00-16:30,4.8,2.5,59,衢州
"药王山Yaowang (The King of Medicine) Mountain",9:00-17:00,4.4,3.5,54,铜川
"药王山Yaowang Mountain",7:00-19:00,4.6,1.5,388,拉萨
"莫干山风景名胜区Moganshan",8:30-16:30,4.3,108,70,湖州
"莲台山Liantai Mountain",8:00-18:00,4.4,2,20,济南
"莲花山公园Lianhuashan Park",6:30-23:00,4.7,2,0,深圳
"莽山国家森林公园Mangshan National Forest Park",8:00-17:30,4.5,108,1,郴州
"莽山森林温泉Mangshan Forest Hot Springs",9:00-24:00,4.5,4.5,118,郴州
"菜溪岩Caixi Rock",8:00-17:00,4.4,1,35,莆田
"葡峰山庄Pufeng Mountain Villa",07:30-19:30,4.5,3.5,0,太原
"蒙山大佛Mengshan Giant Buddha",08:00-18:30,4.4,3,258,太原
"蒙顶山Mengding Mountain",08:30-18:30,4.9,2.5,19.9,雅安
"蓝月谷Blue Moon Valley",08:00-16:00,4.6,3.5,226,丽江
"薛家寨Xuejiazhai Revolutionary Site",8:30-17:00,4.6,12,33.8,铜川
"藏山风景区Cang Mountain Scenic Area",8:00-18:30,4.5,12,9,阳泉
"藤龙山风景区Tenglong Mountain",8:30-18:00,4.3,2.5,19.5,石家庄
"虎山公园Hu Mountain Park",8:00-17:00,4.6,2.5,0,泰安
"虎山长城Hushan Scenic Spot",7:30-18:00,4.6,3.5,55,丹东
"虞山公园Yushan Park",7:30-18:00,4.4,2.5,12.9,桂林
"蛎岈山国家海洋公园Liyashan National Marine Park",8:00-17:30,4.5,72,20,南通
"蝶恋谷",08:00-18:00,1,2.5,7,滨州
"螺髻山Luoji Mountain",8:30-17:30,4.5,3,87.5,凉山
"袁家寨子Yuanjia Village",8:00-17:00,3.9,2.5,62,张家界
"褒禅山景区Baochan Mountain Scenic Area",8:30-16:30,4.6,3.5,40,马鞍山
"西九华山风景区Xijiuhua Mountain Scenic Area",8:00-18:00,4,12,28,信阳
"西双版纳猴山Sipsongpanna Monkey Mountain",08:00-17:00,4.7,72,20,西双版纳
"西双版纳雨林谷Xishuangbanna Rainforest Valley",9:00-18:00,3.2,12,135,西双版纳
"西山Xishan Island",8:30-17:00,4.5,108,31.1,苏州
"西山风景名胜区West Mountain Scenic Area",4:00-19:00,4.5,72,67,贵港
"西岭雪山Xiling Snow Mountain",09:00-17:30,4.6,4,120,成都
"西峰Xifeng",7:00-19:00,4.7,1.5,180,渭南
"西樵山风景名胜区Xiqiao Mountain Scenic Area",07:30-17:30,4.4,12,52.3,佛山
"西海大峡谷Grand Canyon of West Sea",08:00-17:00,4.7,4,100,黄山
"西霞口神雕山野生动物园Shendiao Wild Animal Nature Reserve",7:30-18:00,4.7,3,150,威海
"观斗山石雕Guandou Mountain Stone Carving",8:00-18:00,4.7,1,38,昭通
"观日岩Sunrising Rock",08:00-17:30,4.7,1,0,三亚
"观澜山水田园文化园Mission Pastoral Tourism and Culture Park",10:00-1:00,4,72,39.9,深圳
"角山长城Cape Mountain",08:00-16:30,4.7,5,30,秦皇岛
"象山石浦檀头山岛Xiangshan Shipu Tantoushan Island",8:00-17:00,3.9,3.5,130,宁波
"象鼻山景区Xiangshan Scenic Area",6:30-18:30,4.3,1.5,70,桂林
"贡嘎山Mount Gongga",8:00-18:00,4.7,72,0,甘孜
"贵清山旅游风景区Guiqing Mountain Tourism Scenic Area",8:30-18:00,4.5,4,50,定西
"赤城山Chicheng Mountain",8:00-16:00,4.2,1.5,14.9,台州
"赤山风景区Chishan Scenic Area",07:30-17:00,4.4,12,65,威海
"赤岭福湾",08:30-16:00,5,2.5,180,陵水
"起凤山Qifeng Mountain",9:00-17:00,4.1,5,7.9,南宁
"超山风景区Chao Mountain Scenic Area",08:00-17:00,4.4,72,29.9,杭州
"跑马山Paoma Mountain",7:00-17:30,3.9,2.5,5,甘孜
"轿子雪山Jiaozi Snow Mountain",8:30-15:30,4.6,72,194.9,昆明
"通灵大峡谷Tongling Grand Canyon",08:00-17:00,4.5,3,99,百色
"通道芋头古侗寨Tongdao Yutou Ancient Dong Ethnicity Village",08:00-17:30,4.3,12,35,怀化
"遂昌金矿国家矿山公园Suichang Gold Mine National Mine Park",8:00-16:30,4.3,3,116,丽水
"邢台大峡谷Xingtai Gorges",8:00-17:30,4.4,12,25,邢台
"郁林观唐隶宋篆摩崖Cliff Carvings of Tang and Song Calligraphy, Yulin Temple",7:00-16:30,4.8,0.5,3,连云港
"都峤山风景区Doujiao Mountain Scenic Area (Qingshou Cliff)",09:00-17:00,3.9,3,13,玉林
"都江堰·玫瑰花溪谷Dujiangyan · Rose Valley",09:00-17:30,3.6,2.5,38.8,成都
"鄣山村",0:00-24:00,5,3,0,上饶
"野人谷Savage Valley",8:00-18:00,4.4,12,60,十堰
"野人谷景区",09:00-16:00,4.5,1,158,防城港
"野山参博物馆",08:00-18:00,5,2.5,30,本溪
"野象谷Wild elephant valley",08:00-18:00,4.3,4,56.2,西双版纳
"金水岩Gold Water Cave",8:30-18:00,3.7,2.5,84,桂林
"金沙江三谷水景区Jinsha River Three Valley Water Scenic Area",8:00-18:00,4.3,2.5,120,丽江
"金牛岭",6:00-20:00,4,2.5,0,海口
"金牛岭公园Jinniuling Park",5:00-23:00,4.5,2.5,5,海口
"金猴岭Jinhou Mountain",7:00-18:00,4.6,1.5,2,神农架
"金钟山",9:00-17:00,5,1,0,黔东南
"金鞭岩Jinbianyan Peak",7:00-18:00,4.5,0.2,1780,张家界
"金鸡岭",8:30-17:00,4.4,2.5,35,韶关
"金龙山国家森林公园Jinlong Mountain National Forest Park",08:00-16:00,4.5,5,50,哈尔滨
"金龙谷Jinlong Valley",9:00-18:00,3.4,1,30,洛阳
"铁山寺国家森林公园Tieshan Temple National Forest Park",8:00-18:00,4.4,4,48,淮安
"铜石岭Tongshi Ridge",09:00-18:00,3.9,12,99,玉林
"铜钟寨景区Tongzhongzhai Sceneic Area",8:30-17:00,4,12,40,韶关
"铜锣寨Tongluozhai",07:00-17:00,4.6,12,38,六安
"银子岩Silver Cave",09:00-17:30,4.4,1.5,51,桂林
"银屏山Yinping Mountain",8:00-16:30,4.2,4.5,55,巢湖
"银山塔林Yinshan Pagoda Forest",8:00-16:00,4.7,1,15,北京
"锣圈岩地质公园矅天眼景区",08:30-17:00,4,2.5,120,恩施
"镇远石屏山Zhenyuan Shiping Mountain",8:00-17:30,4.2,2.5,24,黔东南
"长寿山Changshou Mountain",08:00-16:30,4.6,2.5,110,秦皇岛
"长泰古山重Changtai Ancient Mountain Scenic Area",8:30-17:00,3.5,2.5,680,漳州
"长白山东北虎林园Northeast Tiger Forest Park in Changbai Mountain",08:30-16:30,3.8,2.5,70,延边
"长白山传奇小镇",09:15-16:15,4.8,12,50,延边
"长白山北坡景区Changbai Mountain North Slope Scenic Area",8:30-15:00,4.5,72,2900,延边
"长白山南坡景区Changbai Mountain South Slope Sceneic Area",09:30-11:30,4.7,72,105,白山
"长白山大峡谷",6:00-17:00,4.3,1,2,白山
"长白山梦幻森林峡谷",9:00-20:00,3,12,188,延边
"长白山西坡景区West Slope of Changbai Mountain Scenic Area",08:30-12:30,4.5,72,70,白山
"阳光云漫1660彝山花谷Yi Mountain Flower Valley Scenic Area",9:00-17:30,3.1,12,130,毕节
"阳山生态桃源",07:00-18:00,4.8,3,1,无锡
"阳明山国家森林公园Yangling National Forest Park",7:30-18:30,4.5,12,35,赣州
"阿婆寨Apozhai Scenic Spot",8:00-17:00,3.4,3.5,45,平顶山
"阿尔山国家森林公园Arxan National Forest Park",08:00-17:00,4.3,108,234.5,兴安盟
"隆昌万花谷Longchang Wanhua Valley",08:30-18:00,4,2.5,20,内江
"雀儿山公园",6:30-22:30,4.3,2,9,柳州
"雁山瀑布Yanshan Waterfall",7:30-18:00,4.4,2,44.5,安康
"雁荡山Yandang Mountain",06:30-18:00,4.6,180,50,温州
"雪山峡谷演艺公园Snow Mountain Canyon Park",8:00-17:30,4.8,1.5,800,丽江
