名字,开放时间,评分,建议游玩时间,门票,来源城市
"老龙潭Laolongtan",8:00-19:00,4.2,1,45,固原
"火石寨国家地质（森林）公园Huoshizhaiguojiadizhi (senlin)  Park",7:00-19:00,4.4,1,48,固原
"香水花海Xiangshui Flower Sea",08:00-21:00,3.5,3,50,固原
"松苑原始森林公园Songyuan Forest Park",9:00-18:00,4.5,1.5,2,大兴安岭
"大兴安岭五·六火灾纪念馆Da Hinggan Ling Five Six Fire Memorial Hall",8:00-17:00,4.7,1,2,大兴安岭
"大兴安岭资源馆Daxing'anling Natural Resource Exhibition",8:30-17:00,4.5,2.5,0,大兴安岭
"李金镛祠堂Lijinyong Ancestral Hall",9:00-17:00,4.2,0.75,0,大兴安岭
"云冈石窟Yungang Grottoes",09:00-17:00,4.7,4.5,120,大同
"九龙壁Nine Dragons Wall",08:00-18:00,4.3,1,388,大同
"大同土林Datong Soil Forest",8:00-19:00,4.2,2.5,43,大同
"大同火山群国家地质公园Datong Volcanic Group",8:30-18:00,4.4,2.5,7,大同
"桑干古道乌龙峡WuLongXia Eco-Tourism Resort",8:30-18:30,4.3,5,29,大同
"吴官屯石窟Wuguantun Grottoes",8:30-17:30,5,2.5,8,大同
"关帝庙Emperor Guan Temple",8:00-18:00,4.6,1,7,大同
"苍山Cangshan Mountain",08:30-15:00,4.5,12,100,大理
"蝴蝶泉Butterfly Spring Park",08:30-18:00,4.3,1.5,37.8,大理
"金梭岛Jinsuo Island",09:00-18:00,4,12,98,大理
"南诏风情岛Nanzhao Customs Island",08:00-17:30,4.4,1.5,44,大理
"天龙八部影视城Tianlongbabu Film Studio",08:30-17:30,3.9,2.5,35,大理
"大理苍山石门关景区Shimenguan",8:30-17:30,4.6,12,20,大理
"小普陀Little Putuo Island",9:00-18:00,4.3,1,360,大理
"苍山中和索道Cangshan Zhonghe Cableway",8:00-16:00,4.4,1.25,100,大理
"三塔倒影公园Three Pagodas Reflection Park",8:00-17:00,4.5,1.5,66,大理
"玉几岛Yuji Island",8:00-20:00,4.2,1.5,5,大理
"感通索道Gantong Ropeway",08:30-16:30,4.3,1.5,95,大理
"喜洲民居",8:00-18:00,4,3,62,大理
"张家花园Zhangjia Garden",8:00-19:00,5,1.5,80,大理
"石宝山Shibao Mountain",09:00-17:00,4.4,2.5,9,大理
"大理西湖Dali West Lake",8:00-19:00,4.5,2.5,37.8,大理
"鸡足山Jizu Mountain",08:00-18:00,4.7,3.5,50,大理
"清碧溪Qingbi Creek",9:00-17:30,4.4,1.5,80,大理
"青庐Qinglu",10:00-20:00,4.5,1.25,100,大理
"中和寺Zhonghe Temple",8:30-16:10,4.3,1,60,大理
"观音塘Guanyin Temple",8:00-18:00,4.6,1.5,0,大理
"巍宝山Weibao Mountain",08:00-17:00,4.6,3.5,38.8,大理
"玉波阁",9:00-18:00,4,0.5,0,大理
"海云居Haiyunju Temple",8:00-18:00,4.6,1.5,30,大理
"正觉寺Zhengjue Temple",9:00-21:00,4,2,0,大理
"玉几庵",9:00-18:00,4,0.5,0,大理
"洗马潭大索道Ximatan Cableway",08:00-15:00,4.5,0.6,260,大理
"双廊本主庙",9:00-18:00,4.7,0.5,0,大理
"赵氏宗祠Ancestral Hall of Family Zhao",9:00-18:00,3.8,1.5,0,大理
"老虎滩海洋公园Tiger Beach Ocean Park",08:30-16:30,4.5,4.5,173,大连
"华酝牡丹园Huayun Peony Garden",08:30-17:30,3.7,3,23.8,大连
"横山寺森林公园Hengshan Temple Forest Park",6:00-18:00,4.7,2.5,0,大连
"英歌石植物园Yinggeshi Botanical Garden",7:30-17:30,4.4,1.5,30,大连
"白玉山景区Baiyu Mountain Scenic Area",06:30-18:00,4.3,3.5,36,大连
"旅顺口景区Lvshunkou Scenic Area",06:30-18:00,4.2,4,30,大连
"黑石礁Dalian Black Rock Reef",09:00-16:00,4.5,1.5,10,大连
"胜利塔Dalian Victory Tower",9:00-18:00,4.4,0.5,5,大连
"旅顺海军兵器馆Lvshun Naval Ordnance Museum",9:00-17:00,4.1,1.5,450,大连
"北大桥North Bridge",9:00-17:30,4.4,1,109,大连
"紫云花汐薰衣草庄园Ziyun Huaxi Lavender Manor",8:00-17:00,4.4,3,80,大连
"蛤蜊岛Geli Island",8:00-18:00,4.1,72,38,大连
"闯关东影视基地Chuangguandongyingshi Base",8:00-17:00,4.3,2.5,58,大连
"小长山岛Xiaochangshan Island",8:00-17:00,4.4,72,2,大连
"伏羲庙Fuxi Temple",08:00-17:40,4.5,2.5,10,天水
"仙人崖Immortal Cliff",08:30-17:30,4.4,2.5,20,天水
"陀罗尼经幢",8:00-18:00,5,0.5,20,天水
"武山温泉Wushan Spa",8:30-23:00,4,2,68,天水
"甘谷大象山Gangu Daxiangshan",08:00-18:00,4.6,12,9,天水
"赵充国陵园Cemetery of Zhao Chongguo",8:30-17:30,4.8,1,20,天水
"西开教堂St. Joseph Cathedral",8:30-16:00,4.6,1.5,1,天津
"南市食品街Nanshi Food Street",8:00-22:00,4.1,2,1,天津
"张学良故居The Former Residence of Zhang Xueliang",9:00-17:30,4.7,1.5,72,天津
"民国物语Republic of China Story Museum",10:00-18:00,4.7,1.5,59,天津
"天津水上公园Tianjin Water Park",9:00-16:00,4.7,4,99,天津
"石家大院Shi Family Grand Courtyard",8:30-18:00,4.6,2.5,9,天津
"袁氏宅邸Tianjin Yuan Shikai's House",09:00-17:30,4.5,1,50,天津
"天津动物园Tianjin Zoo",8:30-18:00,4.6,3,45,天津
"武清南湖绿博园Wuqing Nanhu Green Expo Park",9:00-18:00,4.5,4,50,天津
"庆王府Qing Wangfu",9:00-17:30,4.4,1.5,24,天津
"东疆湾沙滩景区Dongjiang Bay Beach",08:30-17:00,3.9,12,50,天津
"天津热带植物观光园Tianjin Tropical Botanical Garden",8:00-17:00,4.2,3.5,59,天津
"五大道历史博物馆Wudadao Museum",10:00-17:00,4,2.5,25,天津
"蓟州车神架风景区Jizhou Cheshenjia Sceneic Area",8:00-17:00,4.1,12,75,天津
"天津zoonly动物主题公园Tianjin zoonly Park",10:00-21:00,4.5,2.5,88,天津
"天津滨海文化中心Tianjinbinhai Culture Center",9:30-21:30,4.8,2.5,0,天津
"蒙山大佛Mengshan Giant Buddha",08:00-18:30,4.4,3,258,太原
"双塔寺Shuangta Temple (Twin Pagoda Temple)",8:30-17:30,4.6,1.5,0.8,太原
"薰衣草NE庄园Lavender NE Manor",8:00-17:30,4.2,1.75,80,太原
"多福寺Duofu Temple",8:30-17:30,4.6,1.5,15,太原
"汾河公园Fenhe Park",10:00-18:00,4.7,2,19.9,太原
"汾河二库国家水利风景区Fenhe Erku National Water Conservancy Scenic Area",8:00-16:00,4.5,2,40,太原
"东湖醋园Donghu Vinegar Garden",8:00-17:30,4.5,1.5,6,太原
"葡峰山庄Pufeng Mountain Villa",07:30-19:30,4.5,3.5,0,太原
"太原动物园Taiyuan Zoo",8:00-18:00,4.2,2.5,10,太原
"青龙古镇Qinglong Ancient Town",8:30-17:30,4.2,12,7,太原
"晋窦大夫祠Douci",8:00-17:00,4.3,1.5,15,太原
"华辰农耕园Huachen Farming Garden",9:00-19:00,4.7,26.4,128,太原
"刘公岛Liugong Island",09:00-15:30,4.6,5,15,威海
"威海华夏城Weihai Huaxia City",8:00-17:30,4.2,4,49,威海
"鸡鸣岛Jiming Island",08:00-17:00,4.4,108,78,威海
"中国甲午战争博物馆Museum of Sino-Japanese War 1894-1895",8:30-16:30,4.7,2,0,威海
"西霞口神雕山野生动物园Shendiao Wild Animal Nature Reserve",7:30-18:00,4.7,3,150,威海
"西霞口旅游度假区Xixiakou Scenic Resort",07:30-18:00,4.6,2.5,138,威海
"环翠楼公园Huancuilou Park",9:00-16:30,4.6,1.5,6,威海
"赤山风景区Chishan Scenic Area",07:30-17:00,4.4,12,65,威海
"摩天岭Motianling",7:30-17:30,3.9,2,60,威海
"威海圣水观Shengshui Temple, Weihai",8:00-17:00,4.1,2,25,威海
"花斑彩石景区Huabancaishi Sceneic Area",7:30-17:00,4.3,2,30,威海
"大乳山滨海旅游度假区Darushan Coastal Tourist and Holiday Resort",8:00-17:00,4.1,72,100,威海
"甲午海战馆",7:00-18:00,5,1.5,8,威海
"仙姑顶Xianguding Scenic Resort",08:00-16:00,4.2,72,49,威海
"槎山风景区Chashan (Raft Mountain) Scenic Area",7:30-17:00,4.4,2,29.9,威海
"圣经山风景区Shengjingshan Sceneic Area",8:00-16:00,4.5,3,38,威海
"冷水江波月洞Boyue Cave",08:30-17:30,4.5,1.5,10,娄底
"梅山龙宫Meishan Dragon Palace",8:30-17:00,4.5,1.5,78,娄底
"紫鹊界梯田Ziquejie Terrace",7:00-22:00,4.3,108,63,娄底
"大熊山国家森林公园Daxiong Mountain National Forest Park",8:00-17:00,4.4,12,62,娄底
"娄底海立方海洋公园Loudi Hailifang Haiyang Park",9:00-18:00,4.8,2.5,90,娄底
"十八潭风景区Shibatan Sceneic Area",08:00-17:30,3.6,2.5,68,孝感
"卓尔小镇桃花驿Zhuo‘er Town Peach Blossom",8:00-17:30,4.4,12,50,孝感
"大嵛山岛Dayushan Island",8:00-17:00,4.3,108,70,宁德
"杨家溪Yang Jiaxi",7:30-17:30,4.2,1.5,95,宁德
"白水洋风景区Baishuiyang Scenic Area",08:00-17:00,4.6,5,64.5,宁德
"沙江S湾Shajiang S Bay",9:00-17:00,4.4,1,2,宁德
"牛郎岗海滨景区Niulanggang Beach Resort",8:00-19:00,4.3,2.5,17,宁德
"三都澳斗姆岛景区Doumu Island Resort in Sanduao",09:00-18:00,4,3.5,31.76,宁德
"柘荣鸳鸯草场Zherong Yuanyang Caochang",8:30-17:00,4.3,4,55,宁德
"翠屏湖Cuiping Lake",8:00-17:00,4.5,2.5,78,宁德
"南塘老街Nantang Old Street",9:00-21:00,4.5,3,7,宁波
"雪窦山Xuedou Mountain",09:30-16:10,4.6,12,150,宁波
"前童古镇Qiantong Ancient Town",08:00-17:00,4.2,2.5,50,宁波
"溪口风景区Xikou Scenic Area",09:30-16:10,4.6,108,195,宁波
"四明山国家森林公园Simingshan National Forest Park",08:30-17:00,3.7,5,44,宁波
"月湖公园Yuehu Park",8:00-17:30,4.6,1.5,27,宁波
"浙东小九寨Zhedong Xiaojiuzhai",08:00-16:30,4.4,3.5,44,宁波
"东海半边山Banbian Mountain",8:00-17:00,4.3,2,18,宁波
"九龙源景区Jiulongyuan Sceneic Area",8:00-17:00,4.3,1.5,35,宁波
"慈城县衙Cicheng County",8:30-16:50,4.2,1.5,45,宁波
"梁祝景区Liangzhu Cultural Park",8:00-16:00,4.3,2.25,45,宁波
"九龙湖景区Jiulong Lake Scenic Area",08:00-17:00,4.3,12,60,宁波
"象山石浦檀头山岛Xiangshan Shipu Tantoushan Island",8:00-17:00,3.9,3.5,130,宁波
"宁波野生动物园Youngor Zoo",8:00-16:30,4.6,5,70,宁波
"宁波海洋世界Ningbo Ocean World",08:15-17:30,4.7,3.5,194,宁波
"达人村Daren Village",09:00-17:00,4.1,12,150,宁波
"宁波植物园Ningbo Botanical Garden",08:00-17:00,4.6,2.5,18,宁波
"清道观Qing Taoist Temple",8:40-16:30,4.1,1.5,30,宁波
"徐凫岩步云谷旅游度假区Xufuyan",8:30-16:00,4.1,2,72,宁波
"慈城孔庙Cicheng Confucius Temple",8:30-16:50,4.3,1,45,宁波
"天童寺Tiantong Temple",06:00-17:00,4.6,1.5,6,宁波
"天童国家森林公园Tiantong National Forest Park",8:00-20:00,4.4,2,14.9,宁波
"天柱山Tianzhu Mountain",7:00-17:30,4.7,108,130,安庆
"三祖寺Sanzu Temple",6:00-18:00,4.1,1,288,安庆
"浮山Fushan Mountain",8:00-18:00,4.2,2.5,48.8,安庆
"巨石山Jushi Mountain",09:00-17:00,4.4,12,66,安庆
"小孤山Mount Xiaogu",08:00-17:00,4.1,2,7,安庆
"石莲洞国家森林公园Shilian Cave National Forestry Park",08:00-17:30,4.5,1,50,安庆
"白崖寨Baiyazhai",08:30-17:30,4.5,2.5,49.9,安庆
"妙道山Miaodao Mountain",8:00-17:00,4.5,72,6,安庆
"南宫山国家森林公园Nangongshan National Forest Park",08:00-15:00,4.4,72,45,安康
"瀛湖风景区Yinghu Lake",09:00-16:30,4.2,3.5,69.1,安康
"鬼谷岭景区Guigu Ridge Scenic Area",8:00-17:00,3.9,4.5,72,安康
"燕翔洞Yanxiang Cave",8:00-17:30,4.3,1.5,69.4,安康
"中坝大峡谷Zhongba Canyon",8:00-18:00,4.3,72,55,安康
"双龙生态旅游度假区Shuanglong Ecotourism resort",8:30-17:30,4.4,3.5,70,安康
"藏一角博物馆Ankangshi Cang Yijiao Museum",9:00-17:00,4.5,2.5,0,安康
"雁山瀑布Yanshan Waterfall",7:30-18:00,4.4,2,44.5,安康
"太行大峡谷景区Taihang Grand Canyon Scenic Area",8:00-17:30,4.7,108,95,安阳
"殷墟Yinxu Museum",08:00-17:00,4.7,3,65,安阳
"羑里城Youli City",08:10-18:00,4.5,2.5,35,安阳
"袁林Yuan Lin",8:30-17:30,4.4,3.5,34,安阳
"文峰塔Wenfeng Tower",6:00-18:00,4.5,1.5,24.5,安阳
"汤阴岳飞庙Tangyin Yuefei Temple",8:00-18:00,4.6,1.5,55,安阳
"黄华神苑Huanghua Shenyuan",8:00-18:00,4.5,12,16.8,安阳
"仙台山Xiantai Mountain Scenic Area",08:00-16:30,4.6,12,26,安阳
"善园古镇Shanyuan Ancient Town",8:00-18:00,5,12,25,安阳
"紫云格凸河风景名胜区Ziyun Getu River Scenic Spot",09:00-18:00,4.4,3.5,125,安顺
"天星桥风景区Tianxingqiao Scenic Area",7:30-17:30,4.5,3,6,安顺
"陡坡塘瀑布Doupotang Waterfall",7:30-18:00,4.6,2.5,689,安顺
"天龙屯堡Tianlong (Sky Dragon) Fortified Village",8:00-18:00,4.3,3.5,8,安顺
"黄果树盆景园",9:00-18:00,3.7,0.5,0,安顺
"黄果树神龙洞The Shenlong Cave of Huangguoshu",8:30-18:00,4.3,1,60,安顺
"花江大峡谷Huajiang Grand Canyon",09:00-18:00,4.3,2,30,安顺
"水帘洞Water Curtain Cave",7:30-18:00,4.6,1.5,109,安顺
"夜郎洞Yelang Cave",10:30-11:20,3.9,2,85,安顺
"岚山景区",09:00-18:30,5,12,20,安顺
"文笔峰道家文化苑",8:00-18:00,3,3,35,定安
"文笔峰Wenbi Peak",08:00-18:00,4.6,2.5,35,定安
"海南热带飞禽世界Hainan Tropical Birds World",8:00-18:00,4.3,3.5,42,定安
"贵清山旅游风景区Guiqing Mountain Tourism Scenic Area",8:30-18:00,4.5,4,50,定西
"天井峡景区Tianjing Gorge Scenic Area",7:00-18:00,4.6,12,20,定西
"李庄古镇Lizhuang Ancient Town",09:00-18:00,4.6,2,48,宜宾
"蜀南竹海Shunan Zhuhai (“South Sichuan Bamboo Sea”) National Park",9:00-17:00,4.3,3.5,100,宜宾
"竹海博物馆Shunan Zhuhai Museum",09:00-18:00,5,2.5,100,宜宾
"龙吟寺",8:00-18:00,2.5,1.5,1,宜宾
"丞相祠Prime Minister Shrine",8:30-17:30,3.7,1.5,58,宜宾
"宜宾三江游船",14:30-21:00,4.4,2,48,宜宾
"清江画廊Qingjiang River Gallery",08:30-16:00,4.5,3.5,135,宜昌
"三峡大坝旅游区Three Gorges Dam Tourist Area",08:30-16:30,4.6,12,188,宜昌
"三峡大瀑布Three Gorges Waterfall",09:30-14:30,4.7,2.5,104,宜昌
"西陵峡风景区Xilingxia Scenic Area",8:30-17:00,4.4,12,60,宜昌
"坛子岭Tanziling Scenic Area",8:00-17:00,4.4,1,188,宜昌
"昭君村Zhaojuncun",8:00-17:30,4.5,2.5,49,宜昌
"屈原祠Quyuan Temple",8:00-16:30,4.4,3,15,宜昌
"宜都市奥陶纪石林景区Yidu Ordovician Stone Forest Scenic Area",8:00-18:00,4.6,2.5,42,宜昌
"三游洞Sanyou Cave",8:30-17:00,4.5,2.5,60,宜昌
"车溪民俗旅游区Chexi Folk Custom Tourism Area",10:30-17:00,4.4,3,90,宜昌
"截流纪念园Interception Memorial Garden",8:00-17:00,4.6,1.5,0,宜昌
"关陵Guanling Temple",8:30-18:30,4.5,1.5,25,宜昌
"三峡竹海Three Gorges Bamboo Sea",08:30-16:00,4.4,3.5,75,宜昌
"金狮洞Golden Lion Cave",08:30-16:00,4.6,1.5,45,宜昌
"百里荒旅游度假区Bailihuang",08:00-20:00,4.4,4,50,宜昌
"情人泉Lover Spring",08:30-16:00,4.6,1.5,30,宜昌
"三峡南津关大峡谷Nanjinguanda Canyon Sceneic Area",9:00-17:00,4.1,5,49,宜昌
"185观景平台185 Observation Deck",8:00-17:00,4.6,1,1,宜昌
"中华传统文化园",8:00-18:00,2,12,55,宜春
"三爪仑虎啸峡景区",09:00-17:00,3.8,2.5,80,宜春
"明月山花海原居樱花山谷Mingyue Mountain Flower Sea Original Residence Sakura Valley",8:30-16:30,2,12,38,宜春
"关山草原Guanshan Grasslands",08:00-18:00,4.4,4.5,55,宝鸡
"法门寺博物馆",8:00-18:00,4.7,1,120,宝鸡
"宝鸡青铜器博物院Baoji Bronzeware Museum",9:00-17:00,4.7,1.5,0,宝鸡
"红河谷森林公园Red River Resorts",08:00-18:00,4.4,4.5,6,宝鸡
"鸡峰山Jifeng Mountain",8:00-18:00,4.1,12,35,宝鸡
"炎帝陵Yan Emperor Mausoleum",08:00-17:30,4.1,1.5,6,宝鸡
"岐山周公庙景区Zhou Gong Temple",8:00-18:00,4.4,2.5,64,宝鸡
"大散关Sanguan Pass",08:30-18:00,3.8,1,44.6,宝鸡
"姜子牙钓鱼台Jiangziya Fishing Platform",8:00-18:00,4.1,1,40,宝鸡
"五丈原诸葛亮庙Wuzhangyuan Zhuge Liang Temple",8:30-17:30,4.2,2.5,25,宝鸡
"大唐秦王陵",08:30-18:00,4,1.5,35,宝鸡
"灵官峡Lingguan Gorge",8:00-17:30,4.3,2.5,45,宝鸡
"嘉陵江源头风景区Jialing River Source Scenic Area (Northwest Gate)",8:00-20:00,4.3,1.5,50,宝鸡
"徽杭古道Huihang Ancient Road",08:00-16:30,4.6,144,58,宣城
"江南第一关Jiangnan First Pass",8:00-18:00,4.1,1,58,宣城
"敬亭山Jingting Mountain",8:00-17:30,4.4,3.5,30,宣城
"查济Chaqi",8:00-17:00,4.4,3.5,60,宣城
"龙川风景区Longchuan Scenic Area",8:00-17:00,4.3,12,64,宣城
"桃花潭Taohuatan (“Peach Blossom Pool”)",7:30-17:30,4.3,3.5,110,宣城
"皖南事变烈士陵园Wannan Incident Martyrs Cemetery",8:00-17:00,4.6,1.5,0.5,宣城
"水西森林公园Shuixi National Forest Park",8:00-19:30,4.4,12,100,宣城
"胡雪岩纪念馆Hu Xueyan Memorial",07:00-18:00,3.7,1,20,宣城
"太极洞Taiji Cave",8:00-16:30,4.5,3,59,宣城
"青龙湾生态旅游区Qinglong Bay Eco-Tourism Area",8:00-19:30,4.4,2.5,54,宣城
"黄田风景区Huangtian Scenic Spot of Jing County",08:00-17:00,4.3,3.5,39,宣城
"瀚海立方动物王国室内主题公园Hanhai Lifang Dongwu Wangguoshi Nei Theme Park",10:00-19:00,4,2.5,68,宿州
"三鲨海洋世界Sanshahaiyang World",9:00-17:00,3.2,2.5,35,宿州
"瑞云寺Ruiyun Temple",07:30-18:00,3.3,1.5,60,宿州
"项王故里The Ancestral Home of Xiang Wang",09:00-17:30,4.4,2.5,20,宿迁
"神农时代文化旅游区Yanghe Agricultural Carnival",08:30-18:00,4.4,2.5,40,宿迁
"羊卓雍措Yamdrok Lake",09:00-18:30,4.7,2,60,山南
"桑耶寺Samye Monastery",09:00-17:00,4.6,2.5,6,山南
"敏珠林寺Minzhulin Temple",9:00-18:00,4.4,1.5,2019,山南
"朗赛岭庄园Langsailing Manor",9:00-18:00,4,1,8,山南
"日托寺",09:00-17:00,4.3,1.5,25,山南
"石牛寨Shiniuzhai Scenic Area",08:00-17:00,2.7,2.5,188,岳阳
"岳阳楼Yueyang Tower",7:00-18:30,4.5,2.5,70,岳阳
"洞庭庙",7:00-18:30,4,2,60,岳阳
"慈恩塔",8:00-18:00,4,1,0,岳阳
"五尖山国家森林公园Wujianshanguojia Forest Park",7:00-18:00,4.3,12,168,岳阳
"鲁肃墓Tomb of Lu Su",08:00-18:00,4,1.5,0,岳阳
"禹山游览区",8:00-19:00,4,2,20,岳阳
"6501风景区6501 Scenic Area",8:00-17:00,4.3,3.5,6501,岳阳
"德天跨国瀑布景区Detian Transnational Waterfall Scenic Area",08:00-22:00,4.6,4,115,崇左
"明仕田园Mingshi Scenic Area",08:00-17:30,4.2,12,110,崇左
"龙宫仙境Bagui Zhuangwangcheng Scenic Area",8:30-17:00,4.5,4,85,崇左
"安平仙河景区Anpingxianhe Sceneic Area",8:00-17:30,4.6,12,108,崇左
"凭祥友谊关Pingxiang Friendship Pass",8:00-18:00,4.5,2.5,6,崇左
"小连城Little Liancheng",9:00-18:00,4.3,2.5,28,崇左
"石景林景区Shijinglin Sceneic Area",8:00-18:00,3.9,2,32,崇左
"白头叶猴生态旅游区White-headed Langur Eco-tourism Area",8:00-18:00,4.5,2.5,80,崇左
"银屏山Yinping Mountain",8:00-16:30,4.2,4.5,55,巢湖
"泊山洞Boshan Cave",8:00-17:00,3.5,1,7,巢湖
"东庵森林公园Guanyin Mountain Forest Park",8:00-17:00,4.7,1,7,巢湖
"半岛花溪景区",09:00-18:00,5,3.5,19.7,巢湖
"晏阳初博物馆Yan Yangchu Museum",8:30-11:30,5,1.5,0,巴中
"巴中海昌海洋探索馆Bazhonghaiyang Amusement Park",9:00-18:00,4.3,2.5,68,巴中
"南天门旅游景区Nantianmen Tourism Sceneic Area",8:00-17:00,4.9,12,20,巴中
"驷马水乡大峡谷Arrow Horse Water Town Grand Canyon",09:00-18:00,4.9,12,28,巴中
"乌梁素海旅游区Wuliangsuhai Tourist Area",08:00-18:00,4.1,3.5,25,巴彦淖尔
"塔里木胡杨林公园Tarim Populus Euphratica National Forest Park",9:30-21:30,4.3,3.5,9,巴音郭楞
"金沙滩旅游度假区Golden Sands Beach Hawaii Resort",10:00-18:00,4.2,3.5,40,巴音郭楞
"莲海世界Lotus Sea World",10:00-19:00,4,2.5,45,巴音郭楞
"茅山森林世界Baosheng Park",09:00-17:00,4.6,12,98,常州
"茅山东方盐湖城·道天下Oriental Salt Lake City",09:30-21:00,4.5,108,120,常州
"常州海昌海洋探索馆Golden Eagle International Ocean World (Changzhou)",9:30-18:00,4.1,3,85,常州
"西太湖影视基地Xitaihu Yingshi Base",9:30-16:30,3.3,12,39.5,常州
"东坡公园Dongpo Park",6:00-18:00,4.6,1.5,9,常州
"高静园Gaojing Park",5:30-18:00,4.7,1.5,5,常州
"桃花源Taohuayuan (“Peach Blossom Land”)",09:00-15:30,4.6,3.5,116,常德
"夷望溪Yiwang Creek",8:00-18:00,4.4,3.5,65,常德
"龙王洞Longwang Cave",08:30-16:30,4.7,1,50,常德
"石门壶瓶山Hupingshan Mountain in Shimen County",8:00-18:00,4.3,4,58,常德
"夹山国家森林公园Jiashan National Forest Park",8:00-17:30,4.3,4.5,55,常德
"好运谷Haoyungu",7:00-17:00,3.8,2.5,60,平顶山
"画眉谷Thrush Valley",08:00-18:00,3.9,3.5,15,平顶山
"中原大佛景区Zhongyuan Big Buddha Scenic Area",08:00-18:00,4.5,1.5,10,平顶山
"平顶山山顶公园Pingdingshan Peak Park",7:00-20:00,4.6,2.5,50,平顶山
"阿婆寨Apozhai Scenic Spot",8:00-17:00,3.4,3.5,45,平顶山
"九峰山Jiufeng Mountain",8:00-17:00,4.1,12,30,平顶山
"苍溪红军渡Cangxi Hongjundu",8:30-19:00,4.6,1.5,0,广元
"昭化古城Zhaohua Ancient Town",08:00-18:00,4.7,3.5,45,广元
"千佛崖Qianfo (Thousand Buddha) Cliff",9:00-17:30,4.5,3.5,49.5,广元
"翠云廊Emerald Cloud Gallery",9:00-18:00,4.4,2.5,32,广元
"明月峡Mingyue Gorge",8:30-17:30,4.4,2.5,63,广元
"曾家山景区Zengjia Mountain Scenic Area",8:00-18:00,4.5,36,9,广元
"唐家河自然保护区Tangjia River Nature Reserve",08:00-16:00,4.8,36,55,广元
"双旗美村",09:00-18:00,4.9,1,20,广元
"米仓山大峡谷旅游景区",08:30-18:00,4.8,4.5,40,广元
"龙门阁Longmenge",8:30-17:00,5,1.5,45,广元
"昭化古城-文庙Zhaohua Ancient City-Confucian Temple",8:00-18:00,4.6,1.5,58,广元
"昭化古城-敬候祠Zhaohua Ancient City-Jinghou Temple",8:00-18:00,3.8,0.75,58,广元
"银城花海Silver City Flower Sea",8:30-18:00,4.6,2.5,28.8,广安
"华蓥山Huaying Mountain",08:00-17:00,4.4,12,80,广安
"神龙山巴人古堡Shenlong Mountain Ba People's Castle",7:00-18:00,4.6,1,40,广安
"向日葵基地",08:30-20:00,5,3.5,188,广安
"低坑大瀑布景区Pit Cataract Scenic Spot",08:30-17:30,3.6,5,48,广安
"五华山旅游区Wuhuashan",8:30-18:00,4.1,12,60,广安
"广州塔Canton Tower",9:30-22:30,4.5,3,433,广州
"千泷沟大瀑布Qianlonggou Waterfall",09:00-18:00,4.4,3.5,58,广州
"宝墨园Baomo Garden",08:30-17:30,4.7,3.2,45.8,广州
"南沙天后宫Nansha Tianhou Palace",8:30-17:00,4.4,2.5,18,广州
"云台花园Yuntai Garden",8:00-18:00,4.6,1.5,258,广州
"白水寨风景名胜区Baishuizhai Scenic Area",8:30-17:30,4.6,12,48,广州
"中国科学院华南国家植物园Chinese Academy of Sciences Huanan Botanical Garden",7:30-17:30,4.6,5,50,广州
"正佳极地海洋世界Grandview Aquarium",10:00-22:00,4.4,3,202.3,广州
"世间香境·七溪地",09:00-18:00,4.5,12,68,广州
"五指山Wuzhi Mountain",8:00-17:00,4.5,12,40,广州
"沙湾古镇Shawan Ancient Town",09:00-17:30,4.4,72,30,广州
"广州动物园Guangzhou Zoo",8:00-18:00,4.5,3.5,46,广州
"石门国家森林公园Shimen National Park",9:00-19:00,4.4,72,9,广州
"越秀公园Yuexiu Park",6:00-22:00,4.6,3.5,0.2,广州
"中山纪念堂Sun Yat-Sen Memorial",09:00-17:30,4.7,2.5,138,广州
"流溪河国家森林公园Liuxi River National Park",08:00-17:30,4.2,4.5,32,广州
"百万葵园Million Sunflower Garden",9:00-17:30,4.3,3.5,38,广州
"广州海洋馆Guangzhou Ocean Aquarium",9:00-17:30,4.4,3,130,广州
"帽峰山景区Maofeng Mountain",8:00-17:00,4.4,12,188,广州
"天鹿湖森林公园Tianlu Lake Forest Park",9:00-18:00,4.6,2.5,29.9,广州
"广州南粤苑Guangzhou Nanyue Court",8:30-17:30,4.5,2.5,41.5,广州
"珠江夜游天字码头Zhujiang Night Tour Tianzi Wharf",09:00-22:00,4.5,1.5,88,广州
"石头记矿物园Shitouji Minerals Park",9:00-18:00,4.6,2.5,54.8,广州
"石室圣心大教堂Sacred Heart Cathedral",09:00-17:00,4.6,2,6,广州
"余荫山房Yuyin Hill House",8:00-18:00,4.6,2.5,14,广州
"天河公园Tianhe Park",7:00-22:00,4.5,2.5,8,广州
"流花湖公园Liuhua Lake Park",6:00-22:00,4.6,2.5,7,广州
"南沙湿地Nansha Wetland",9:00-17:00,4.3,2.5,38,广州
"虹之彩花卉主题公园",09:00-18:00,4,2.5,20,庆阳
"九州伊甸园Jiuzhou Garden Of Eden",08:30-17:30,4.4,2.5,220,廊坊
"壶口瀑布",07:30-17:30,4.6,2.5,90,延安
"甘泉大峡谷Yucha Grand Canyon",07:30-16:00,4.8,2.5,70,延安
"南泥湾革命旧址Nanniwan Geming Site",8:30-17:30,4.5,1.5,128,延安
