名字,开放时间,评分,建议游玩时间,门票,来源城市
"黄杨山Huangyang Mountain",8:30-17:30,4.6,3.5,1,珠海
"玉带滩Yudai Beach",8:00-16:00,4.3,1,12500,琼海
"博鳌亚洲论坛成立会址Venue of the Boao Forum for Asia",8:00-18:00,4.2,2.5,23,琼海
"白石岭Baishi Ridge",8:30-17:30,4.6,3,30,琼海
"博鳌东方文化苑Bo'ao Oriental Culture Courtyard",8:00-18:00,4.3,3.5,200,琼海
"多河文化谷旅游区Duohe Culture Valley Tourist Area",8:00-17:00,4.2,12,24.6,琼海
"海的故事一条街Sea Story",09:00-01:00,4.5,2.5,0,琼海
"琼海市博物馆Qionghaishi Museum",8:30-17:30,4,1.5,0,琼海
"龙寿洋万亩田野公园Longshou Yangwanmu Field Park",09:00-17:00,3.7,2.5,37,琼海
"向海自然保护区Xianghai Nature Reserve",07:30-17:00,4.6,3.5,9,白城
"东沟湿地狩猎场Donggou Wetland Hunting",6:00-21:30,4.3,4.5,45,白城
"福州国家森林公园Fuzhou National Forest Park",08:00-16:30,4.6,2.5,1.6,福州
"飞云峡Feiyun Gorge",8:00-17:00,3.7,3.5,38,福州
"林则徐纪念馆Lin Zexu Memorial Hall",8:30-17:00,4.7,1.25,279,福州
"福州云顶Fuzhou Yunding",8:00-17:00,4.5,108,144.8,福州
"西禅寺Xichan Temple",7:00-18:00,4.6,1.5,8,福州
"云顶天池Genting Tianchi",8:30-17:00,4.4,2,178,福州
"灵石山国家森林公园Lingshi (Spirit Rock) Mountain National Forest Park",7:30-18:30,4.1,3.5,15,福州
"郎官巷Fuzhou Langguan Trail",8:30-17:00,4.6,1,0,福州
"福州动物园Fuzhou Zoo",08:00-18:00,4.4,4,60,福州
"福州文庙Confucian Temple of Fuzhou",8:30-17:00,4.3,1,12,福州
"福州儿童公园Fuzhou Children‘s Park",06:00-22:00,4.5,12,0,福州
"仙人井Xianrenjing",8:00-17:00,4.3,0.75,21,福州
"左海公园Zuohai Park",8:30-17:00,4.4,2.5,90,福州
"青云山Qingyun Mountain",8:00-16:30,4.5,72,32,福州
"安民巷Anmin Alley",8:30-17:00,4.3,1,120,福州
"青岩古镇Qingyan Ancient Town",08:30-17:00,4.4,2.5,60,贵阳
"黔灵山公园Qianling Mountain Park",07:00-18:00,4.6,3.5,9,贵阳
"红枫湖Hongfeng Lake",7:00-19:00,3.6,4,9,贵阳
"多彩贵州城极地海洋世界Colorful Guizhou City Polar Ocean World",9:00-17:30,4.6,2.5,149,贵阳
"天河潭旅游度假区Tianhetan",08:30-18:00,4.5,4.5,73,贵阳
"河滨公园Riverside Park",7:00-22:00,4.5,1.5,2,贵阳
"贵州森林野生动物园Guizhou Forest Wildlife Park",9:00-18:00,4.2,4,99,贵阳
"香纸沟Xiangzhigou Workshop",8:00-18:00,4.2,6,75,贵阳
"百花湖Baihua Lake",8:00-18:30,4.5,2.5,680,贵阳
"黄姚古镇Huangyao Ancient Town",08:00-18:00,4.3,12,65,贺州
"姑婆山Gupo Mountain",08:00-17:00,4.6,12,60,贺州
"贺州客家围屋Hakka round houses in Hezhou",8:00-17:30,3.4,1,15,贺州
"十八水原生态景区18 Water Ecological Scenic Area",8:00-18:00,4.1,2.5,50,贺州
"紫云洞景区Ziyun Cave Scenic Spot",8:00-17:30,4.4,1,30,贺州
"玉石林风景区Jade Forest Scenic Area",08:00-17:30,4.5,2,45,贺州
"普救寺Pujiu Temple",8:00-18:00,4.5,2.5,50,运城
"解州关帝庙Haizhou Guandi Temple",8:00-18:00,4.7,1.5,50,运城
"蒲津渡遗址Pujindu Site",8:30-18:00,4.4,2.5,7,运城
"常平关帝家庙Emperor Guan Temple, Changping",8:00-18:00,4.4,1.5,25,运城
"大禹渡黄河风景区Scenic Area of Yu's Crossing on the Yellow River",8:00-17:00,4,2,24,运城
"堆云洞Duiyun Cave",8:30-17:30,4.3,1,30,运城
"雨露阳光生态农场",09:00-20:00,5,12,29,运城
"三角龙湾Triceratops Bay",7:00-17:00,4.1,4,50,通化
"龙湾群国家森林公园四方顶景区",07:00-17:00,5,12,50,通化
"将军坟The General Tomb",8:00-17:00,4.9,1,30,通化
"海棠山风景区Haitang Mountain",8:00-17:00,4.6,2.5,45,阜新
"瑞应寺Ruiying Temple",07:30-17:00,4.6,1.5,28,阜新
"福宇文化园Fuyu Museum",09:00-17:00,5,2.5,30,阜新
"乌兰木图山风景区Wulanmutu Mountain Sceneic Area",8:30-16:30,4.4,3,34,阜新
"古格王国遗址Ruins of the Kingdom of Guge",8:00-20:30,4.7,2.5,8,阿里
"札达土林Zhada Tulin",8:00-17:00,4.7,1.5,8,阿里
"托林寺Tholing Monastery",08:00-19:00,4.5,1,6,阿里
"科加寺Kejia Temple",9:00-16:00,4.4,1.5,2019,阿里
